id,equipment_id,tenant_id,computed_at,health_index,iso_score,trend_score,correlation_score,uptime_score,crest_factor,kurtosis,drms_dt,iso_grade,vel_rms_avg,vel_rms_max,predicted_days_to_service,predicted_failure_mode,operating_hours,operating_state,notes,created_at,hi_iso_component,hi_trend_component,hi_correlation_component,hi_uptime_component
2426,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-12,73.4,,,,,1.566,1.841,,B,3.995,,,,,RUNNING,,2026-04-02 07:06:20.558585,94.6,2.1,100,100
2427,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-13,87.6,,,,,1.225,4.84,,B,4.941,,,,,RUNNING,,2026-04-02 07:06:35.81302,87.6,76.9,91.6,100
2428,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-14,89,,,,,1.17,2.901,,B,4.981,,,,,RUNNING,,2026-04-02 07:06:35.827969,87.4,76.3,100,100
2429,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-15,89.4,,,,,1.157,4.073,,B,4.923,,,,,RUNNING,,2026-04-02 07:06:35.841766,87.7,77.8,99.3,100
2430,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-16,91.3,,,,,1.117,2.434,,B,4.918,,,,,RUNNING,,2026-04-02 07:06:35.854581,87.7,84.8,100,100
2431,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-17,89.5,,,,,1.196,3.093,,B,4.959,,,,,RUNNING,,2026-04-02 07:06:35.863532,87.5,78.1,100,100
2432,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-18,98.7,,,,,1.919,1.661,,A,2.901,,,,,RUNNING,,2026-04-02 07:06:35.873052,100,100,100,91.2
2433,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-19,75,,,,,1.485,1.941,,B,4.363,,,,,RUNNING,,2026-04-02 07:06:35.886985,92.2,12.5,100,100
2435,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-20,89.6,,,,,1.194,3.255,,B,4.976,,,,,RUNNING,,2026-04-02 07:06:48.798277,87.4,78.5,100,100
2436,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-21,90.1,,,,,1.144,2.646,,B,4.959,,,,,RUNNING,,2026-04-02 07:06:48.814,87.5,80.3,100,100
2438,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-22,89.5,,,,,1.138,2.644,,B,5.095,,,,,RUNNING,,2026-04-02 07:06:48.830523,86.7,79.1,100,100
2439,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-23,90.3,,,,,1.136,3.427,,B,5.046,,,,,RUNNING,,2026-04-02 07:07:04.24834,87,81.9,100,100
2440,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-24,100,,,,,1.789,1.779,,A,3.211,,,,,RUNNING,,2026-04-02 07:07:04.257252,100,100,100,100
2442,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-25,100,,,,,1.861,2.746,,A,1.483,,,,,RUNNING,,2026-04-02 07:07:04.265009,100,100,100,100
2444,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-26,73.4,,,,,1.384,1.651,,B,3.885,,,,,RUNNING,,2026-04-02 07:07:19.662905,96,0,100,100
2447,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-27,91.5,,,,,1.2,3.121,,B,4.864,,,,,RUNNING,,2026-04-02 07:07:37.102472,88.1,85,100,100
2449,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-01-28,87.3,,,,,1.198,4.917,,B,4.896,,,,,RUNNING,,2026-04-02 07:07:49.201895,87.9,75.8,90.8,100
2670,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-07-04,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 07:31:00.33224,,,,
2673,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-07-05,92.1,,,,,2.103,3.54,,A,1.376,,,,,RUNNING,,2026-04-02 07:31:18.285491,100,68.4,100,100
2680,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-07-08,81.1,,,,,1.09,4.038,,C,9.624,,,,,RUNNING,,2026-04-02 07:32:04.136556,66.9,77.6,99.6,100
2865,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-13,63.9,,,,,1.345,1.665,,B,7.853,,,,,RUNNING,,2026-04-02 09:55:23.871127,77.8,0,100,85
2866,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-14,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:55:23.884102,,,,
2867,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-15,65.9,,,,,1.543,1.231,,B,7.212,,,,,RUNNING,,2026-04-02 09:55:34.347372,82.1,0,100,87.1
2868,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-16,64.9,,,,,1.265,1.791,,B,7.833,,,,,RUNNING,,2026-04-02 09:55:34.361908,77.2,0,100,93.3
2869,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-17,62.5,,,,,1.219,2.143,,B,7.991,,,,,RUNNING,,2026-04-02 09:55:34.373746,75.9,0,100,80.8
2870,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-18,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:55:34.380998,,,,
2871,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-19,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:55:45.467085,,,,
2872,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-20,64.3,,,,,1.286,1.376,,B,7.495,,,,,RUNNING,,2026-04-02 09:55:56.865613,80.6,0,100,80.1
2873,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-21,63.9,,,,,1.283,1.506,,B,7.669,,,,,RUNNING,,2026-04-02 09:55:56.874593,79.2,0,100,81.5
2874,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-22,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:55:56.884433,,,,
2875,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-23,65,,,,,1.404,1.773,,B,7.743,,,,,RUNNING,,2026-04-02 09:56:05.331885,77.7,0,100,92.6
2876,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-24,61.9,,,,,1.351,1.488,,C,9.459,,,,,RUNNING,,2026-04-02 09:56:16.576701,72.7,0,100,85.7
2877,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-25,61.5,,,,,1.275,1.518,,C,9.92,,,,,RUNNING,,2026-04-02 09:56:16.581979,71.3,0,100,86.4
2878,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-26,60.9,,,,,1.268,1.504,,C,9.855,,,,,RUNNING,,2026-04-02 09:56:16.587461,71.6,0,100,81.5
2879,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-27,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:56:16.59274,,,,
2880,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-28,61.2,,,,,1.352,1.408,,C,9.635,,,,,RUNNING,,2026-04-02 09:56:25.930292,72.3,0,100,81.5
2881,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-29,88.4,,,,,1.965,3.019,,A,1.87,,,,,RUNNING,,2026-04-02 09:56:25.938429,100,56.4,100,95.4
2882,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-30,63.2,,,,,1.237,1.675,,C,9.819,,,,,RUNNING,,2026-04-02 09:56:25.946274,70.5,0,100,100
2883,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-01,62,,,,,1.327,1.475,,C,9.456,,,,,RUNNING,,2026-04-02 09:56:37.691154,72.6,0,100,86.4
2884,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-02,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:56:37.696175,,,,
2885,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-03,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:56:45.349593,,,,
2886,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-04,61.1,,,,,1.262,1.514,,C,9.435,,,,,RUNNING,,2026-04-02 09:56:57.40084,72.6,0,100,80.1
2887,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-05,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:56:57.405722,,,,
2888,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-06,69.6,,,,,1.916,1.985,,B,6.111,,,,,RUNNING,,2026-04-02 09:57:07.000357,92.9,0,100,82.9
2889,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-07,86.3,,,,,2.379,2.924,,A,1.838,,,,,RUNNING,,2026-04-02 09:57:07.006354,100,53.6,100,85.7
2451,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-14,81.4,,,,,1.077,2.249,,C,9.804,,,,,RUNNING,,2026-04-02 07:07:49.212825,66.3,79.6,100,100
